what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Oracle Corporation",1353428769977
java.specification.version,sysinfo,,,"1.7",1353428769977
java.vendor,sysinfo,,,"Oracle Corporation",1353428769977
java.version,sysinfo,,,"1.7.0_05",1353428769977
java.vm.info,sysinfo,,,"mixed mode",1353428769977
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1353428769977
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1353428769977
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1353428769977
java.vm.specification.version,sysinfo,,,"1.7",1353428769977
java.vm.vendor,sysinfo,,,"Oracle Corporation",1353428769977
java.vm.version,sysinfo,,,"23.1-b03",1353428769977
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1353428770026
started,bundle,com.android.ide.eclipse.traceview,20.0.3.v201208082019-427395,"com.android.ide.eclipse.traceview",1353428774042
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1353428777344
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353428795921
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353428797568
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353428801043
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353428802568
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353428802659
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1353428802923
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1353428802930
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1353428803075
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1353428803077
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1353428803079
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1353428803080
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1353428803082
